genotype	treatment	timepoint	replicate	total	hue	count
Col-0	CPB	17	1	2056860	90	40
Col-0	CPB	17	1	2056860	91	46
Col-0	CPB	17	1	2056860	92	3
Col-0	CPB	17	1	2056860	93	0
Col-0	CPB	17	1	2056860	94	0
Col-0	CPB	17	1	2056860	95	0
Col-0	CPB	17	1	2056860	96	0
Col-0	CPB	17	1	2056860	97	0
Col-0	CPB	17	1	2056860	98	0
Col-0	CPB	17	1	2056860	99	0
Col-0	CPB	17	1	2056860	100	0
Col-0	CPB	17	1	2056860	101	0
Col-0	CPB	17	1	2056860	102	0
Col-0	CPB	17	1	2056860	103	0
Col-0	CPB	17	1	2056860	104	0
Col-0	CPB	17	1	2056860	105	0
Col-0	CPB	17	1	2056860	106	0
Col-0	CPB	17	1	2056860	107	0
Col-0	CPB	17	1	2056860	108	0
Col-0	CPB	17	1	2056860	109	0
Col-0	CPB	17	1	2056860	110	0
Col-0	CPB	17	1	2056860	111	0
Col-0	CPB	17	1	2056860	112	0
